state,positive,death
AK,8431,56
AL,152321,2501
AR,81242,1308
AS,0,0
AZ,217237,5623
CA,802308,15587
CO,68510,1940
CT,56587,4501
DC,15250,624
DE,20260,633
FL,700564,14202
GA,314685,6946
GU,2354,43
HI,12018,131
IA,83636,1314
ID,40296,460
IL,290419,8845
IN,117450,3580
KS,56592,632
KY,66491,1157
LA,166075,5465
MA,130642,9404
MD,123403,3935
ME,5288,140
MI,134373,7044
MN,96734,2060
MO,123406,2063
MP,70,2
MS,96859,2919
MT,12107,173
NC,207380,3441
ND,20724,156
NE,43596,469
NH,8121,439
NJ,203548,16109
NM,28692,870
NV,78728,1585
NY,455626,25456
OH,150809,4741
OK,83510,1004
OR,32820,547
PA,156150,8106
PR,46304,644
RI,24181,1107
SC,145887,3326
SD,21541,218
TN,192995,2377
TX,735132,15522
UT,70615,453
VA,146144,3159
VI,1317,19
VT,1742,58
WA,85830,2100
WI,122478,1291
WV,15348,334
WY,5633,50