state,positive,death
AK,355,9
AL,7019,269
AR,3255,61
AS,0,0
AZ,7648,320
CA,48917,1982
CO,14758,766
CT,27700,2257
DC,4323,224
DE,4734,210
FL,33690,1290
GA,26155,1120
GU,146,5
HI,613,16
IA,7145,162
ID,1984,60
IL,52918,2355
IN,17835,1114
KS,4238,129
KY,4539,235
LA,28001,1862
MA,62205,3562
MD,21742,1226
ME,1095,53
MI,47505,4434
MN,8116,343
MO,7562,329
MP,14,2
MS,6815,261
MT,453,16
NC,10509,378
ND,1067,19
NE,3784,68
NH,2054,66
NJ,118652,8668
NM,3213,112
NV,4998,269
NY,304372,18321
OH,18027,975
OK,3618,222
OR,2510,103
PA,45763,2292
PR,1539,92
RI,9016,266
SC,6095,244
SD,2449,17
TN,10735,199
TX,28087,782
UT,4672,46
VA,15846,552
VI,66,4
VT,879,49
WA,15619,801
WI,8052,316
WV,1118,41
WY,544,7